40000162449                     0             LSYHKAAA8AK008704376560         ITopicAzulEscolar16L-4P-Longa-GNV-                                               2012022020110223	AR                                                                                                      
40000162449                     0             LSYHDAAB6BK123225928835         ITopicAzulPassageiro13L-4P-Curta-COMAR                                           2012082020110822	465212
40000162449                     0             LSYHDAAB1BK133516112495         ITopicAzulPassageiro13L-4P-Curta-COMAR                                           2012082020110822	465212
40000162449                     0             LSYHDAAB7BK053394137792         ITopicAzulPassageiro13L-4P-Curta-COMAR                                           2012051020110518	465212
40000162449                     0             LSYHDAAB5BK133518151349         ITopicAzulPassageiro13L-4P-Curta-COMAR                                           2012051020110518	465212
40000162449                     0             LSYHDAAB3BK133517151308         ITopicAzulPassageiro13L-4P-Curta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAABXBK133515153829         ITopicAzulPassageiro13L-4P-Curta-COMAR                                           2012083020110830	465212
40000162449                     0             LSYHDAAB7BK133519158792         ITopicAzulPassageiro13L-4P-Curta-COMAR                                           2012012020110128	465212
40000162449                     0             LSYHDAAB8BK123226189712         ITopicAzulPassageiro13L-4P-Curta-COMAR                                           2012022020110228	465212
40000162449                     0             LSYHKAAB3BK121325805036         ITopicAzulPassageiro13L-5P-Curta-COMAR                                           2012021020110211	465212
40000162449                     0             LSYHKAAB5BK121326906509         ITopicAzulPassageiro13L-5P-Curta-COMAR                                           2012021020110214	465212
40000162449                     0             LSYHDAAB7BK147159153026         ITopicBrancaAmbulânciaSimplesRemoção                                             2012021020110215	CURTA
40000162449                     0             LSYBCAAB3BK053210694246         ITopicBrancaEscolar15L-5P-Curta-COMAR                                            2012021020110215	465208
40000162449                     0             LSYHDAAB0AK010109482836         ITopicBrancaEscolar15L-5P-Curta-GNV-COMAR                                        2012021020110216	465208
40000162449                     0             LSYBCAAB1BK053223482831         ITopicBrancaEscolar15L-5P-Curta-GNV-COMAR                                        2012021020110216	465208
40000162449                     0             LSYHDAAB9AK010108376617         ITopicBrancaEscolar15LCOMAR                                                      2012021020110217	465208
40000162449                     0             LSYBCAAB9BK053213688577         ITopicBrancaEscolar15LCOMAR                                                      2012081020110817	465208
40000162449                     0             LSYBCAAB0BK053214688551         ITopicBrancaEscolar15LCOMAR                                                      2012081020110817	465208
40000162449                     0             LSYHDAAA5AK006810363607         ITopicBrancaEscolar16L-4P-Curta                                                  2012083020110831	245903
40000162449                     0             LSYHDAAA1AK006822482841         ITopicBrancaEscolar16L-4P-Curta                                                  2012083020110831	245903
40000162449                     0             LSYHDAAA8AK006820466041         ITopicBrancaEscolar16L-4P-Curta-GNV                                              2012083020110831	465205
40000162449                     0             LSYHDAAA2AK006814469016         ITopicBrancaEscolar16L-4P-Curta-GNV                                              2012083020110831	465205
40000162449                     0             LSYHDAAAXAK006950690643         ITopicBrancaEscolar16L-4P-Curta-GNV                                              2012083020110831	465205
40000162449                     0             LSYHKAAA9AK006797129859         ITopicBrancaEscolar16L-4P-Longa                                                  2012083020110831	245906
40000162449                     0             LSYHKAAA7AK006801409733         ITopicBrancaEscolar16L-4P-Longa-GNV                                              2012083020110831	465206
40000162449                     0             LSYHKAAA8AK008718424218         ITopicBrancaEscolar16L-4P-Longa-GNV                                              2012083020110831	465206
40000162449                     0             LSYHKAAA7AK006796363611         ITopicBrancaEscolar17L-4P-Longa                                                  2012083020110831	245906
40000162449                     0             LSYHKAAA6AK006806447996         ITopicBrancaEscolar17L-4P-Longa-GNV                                              2012083020110831	465210
40000162449                     0             LSYBCAAB7BK053193511008         ITopicBrancaFurgão-Curta                                                         2012083020110831	245901
40000162449                     0             LSYHKAAB6AK010055510361         ITopicBrancaFurgão-Curta                                                         2012083020110831	245901
40000162449                     0             LSYBCAAB5BK053189511014         ITopicBrancaFurgão-Curta                                                         2012090220110902	245901
40000162449                     0             LSYBCAAB9BK133465582410         ITopicBrancaFurgão-Curta                                                         2012090220110902	245901
40000162449                     0             LSYBCAAB2BK133467583517         ITopicBrancaFurgão-Curta                                                         2012091020110915	245901
40000162449                     0             LSYBCAAB4BK133468583519         ITopicBrancaFurgão-Curta                                                         2012091020110915	245901
40000162449                     0             LSYBCAAB0BK133466606806         ITopicBrancaFurgão-Curta                                                         2012091020110915	245901
40000162449                     0             LSYBCAAB6BK133469606807         ITopicBrancaFurgão-Curta                                                         2012091020110915	245901
40000162449                     0             LSYBCAAB9BK053194609739         ITopicBrancaFurgão-Curta                                                         2012091020110915	245901
40000162449                     0             LSYBCAAB8BK133473609665         ITopicBrancaFurgão-Curta                                                         2012081020110817	245901
40000162449                     0             LSYBCAAB2BK133470609662         ITopicBrancaFurgão-Curta                                                         2012083020110830	245901
